ticker;shortName;sector;industry;marketCap;regularMarketPrice;averageDailyVolume10Day;exDividendDate;dividendRate;dividendYield;fiveYearAvgDividendYield;fiftyDayAverage;twoHundredDayAverage;trailingPE;forwardPE;pegRatio;trailingEps;forwardEps;priceToBook;profitMargins;beta;market;timestamp
bim.pa;BIOMERIEUX;Healthcare;Diagnostics & Research;11650575360.0;98.6;72650.0;07/06/2024 02:00;0.85;0.0087;0.61;93.712;98.07705;32.757473;22.257338;2.42;3.01;4.43;3.1048272;0.09731;0.193;Euronext;1723803420
rxl.pa;REXEL;Technology;Electronics & Computer Distribution;6686662144.0;22.5;664530.0;15/05/2024 02:00;1.2;0.053200003;3.97;24.4136;24.466475;9.6982765;8.181818;-3.08;2.32;2.75;1.214706;0.03671;1.527;Euronext;1723803420
porf.as;KONINKLIJKE PORCELEYNE FLES;Consumer Defensive;Household & Personal Products;12231463.0;12.8;33.0;16/05/2024 02:00;0.55;0.043;;13.026;13.1005;85.33333;;;0.15;;0.7210049;0.0175;0.217;Euronext;1723803420
mhm.pa;MYHOTELMATCH;Consumer Cyclical;Travel Services;1435443.0;0.424;10937.0;05/06/2008 02:00;;;;0.51922;0.7574995;;-0.35333332;;-0.68;-1.2;;-0.07332;0.336;Euronext;1723803420
deezr.pa;DEEZER;Communication Services;Entertainment;227524496.0;1.86;6668.0;;;;;1.8198;2.0697;;;;-0.28;;;-0.0757;-0.243;Euronext;1723803420
eqs.pa;EQUASENS;Healthcare;Health Information Services;695944576.0;46.3;8533.0;02/07/2024 02:00;1.25;0.026700001;1.38;52.297;55.54425;14.935484;13.617646;1.12;3.1;3.4;3.1738415;0.21406001;0.927;Euronext;1723803420
acomo.as;ACOMO N.V.;Consumer Defensive;Food Distribution;519494496.0;17.54;22843.0;29/07/2024 02:00;1.15;0.0655;4.76;17.4044;17.5588;14.616667;9.6373625;;1.2;1.82;1.2631428;0.02804;0.601;Euronext;1723803420
gfc.pa;GECINA;Real Estate;REIT—Office;7026653696.0;95.1;114752.0;02/07/2024 02:00;5.3;0.0556;4.84;91.084;97.22125;;14.109793;3.53;-14.76;6.74;0.6834793;-1.33944;1.096;Euronext;1723803420
flow.as;FLOW TRADERS;Financial Services;Capital Markets;760391936.0;17.31;350415.0;17/06/2024 02:00;0.3;0.0172;8.32;18.2342;18.01905;10.6851845;9.015625;0.33;1.62;1.92;1.2738245;0.1149;-0.109;Euronext;1723803420
lacr.pa;LACROIX GROUP;Technology;Scientific & Technical Instruments;93661800.0;20.0;884.0;12/07/2024 02:00;0.7;0.035;2.63;21.113;25.48975;21.978022;8.658009;0.43;0.91;2.31;0.52644044;0.00561;1.244;Euronext;1723803420
bever.as;BEVER HOLDING Gewone aandelen;Real Estate;Real Estate Services;56289872.0;2.7;0.0;14/04/2004 02:00;;;;2.7372;2.6317809;;;;-0.12;;0.56710774;0.0;-0.222;Euronext;1723803420
dpam.pa;DOCK.PETR.AMBES AM;Energy;Oil & Gas Refining & Marketing;49878000.0;510.0;2.0;26/06/2024 02:00;41.0;0.0804;7.16;517.16;503.14;11.614666;;;43.91;;0.8417745;0.22485;0.338;Euronext;1723803420
air.pa;AIRBUS SE;Industrials;Aerospace & Defense;108198592512.0;136.7;1024347.0;19/04/2024 02:00;1.8;0.013099999;1.8;136.9528;147.1671;35.05128;18.49797;1.55;3.9;7.39;6.539731;0.04636;1.584;Euronext;1723803420
plnw.pa;PLANISWARE;Technology;Software—Application;2131281024.0;30.44;16149.0;;;;;26.4375;24.857262;54.357143;;;0.56;;12.898306;0.23889999;;Euronext;1723803420
cbsm.pa;SCBSM;Real Estate;REIT—Diversified;109753600.0;8.0;1032.0;08/01/2019 01:00;;;;8.394;8.6675;;;;-0.41;;0.44377875;-0.24662;0.714;Euronext;1723803420
pay.br;PAYTON PLANAR MAGNETICS;Technology;Electronic Components;143133488.0;8.1;635.0;29/02/2024 01:00;0.53;0.0648;;7.845;7.73675;10.125;;;0.8;;2.085479;0.27938;0.409;Euronext;1723803420
upg.br;UNIFIEDPOST GROUP SA/NV;Technology;Software—Application;120678024.0;3.25;11054.0;;;;;2.997;3.1048;;-8.552631;6.72;-2.32;-0.38;1.5439429;-0.43838;1.457;Euronext;1723803420
ateme.pa;ATEME;Technology;Communication Equipment;41285880.0;3.6;2365.0;;;;;4.2516;5.4255;;11.999999;-0.61;-0.28;0.3;1.0820559;-0.03994;0.434;Euronext;1723803420
big.pa;BIGBEN INTERACTIVE;Technology;Consumer Electronics;40425340.0;2.185;17954.0;27/07/2022 02:00;;;;2.4082;2.8401;1.9336283;3.70339;0.13;1.13;0.59;0.18108734;0.04798;0.977;Euronext;1723803420
itp.pa;INTERPARFUMS;Consumer Defensive;Household & Personal Products;3381126912.0;44.55;28238.0;26/04/2024 02:00;1.05;0.0235;1.65;42.14527;44.092;27.331287;22.275;4.46;1.63;2.0;5.278436;0.14871;1.013;Euronext;1723803420
pat.pa;PATRIMOINE ET COMM;Real Estate;REIT—Retail;331252480.0;20.8;1197.0;29/07/2024 02:00;1.35;0.064899996;7.43;21.215;19.78425;10.146341;9.6744175;;2.05;2.15;0.7237048;0.51186;0.454;Euronext;1723803420
kbc.br;KBC;Financial Services;Banks—Regional;27608000512.0;69.66;594026.0;12/11/2024 01:00;4.15;0.0592;6.08;67.2276;63.9242;9.797469;8.610631;1.4;7.11;8.09;1.3099402;0.27698;1.209;Euronext;1723803420
agfb.br;AGFA-GEVAERT;Industrials;Specialty Industrial Machinery;174018784.0;1.124;101327.0;21/10/2010 02:00;;;6.86;1.1526;1.237225;;56.2;1.31;-0.31;0.02;0.44374257;-0.04867;0.697;Euronext;1723803420
tipi.pa;TIPIAK;Consumer Defensive;Packaged Foods;80870240.0;88.0;0.0;04/07/2023 02:00;1.65;0.0186;2.46;87.95;86.575;;15.438597;-2.86;-11.78;5.7;1.5491321;-0.046090003;-0.006;Euronext;1723803420
titan.as;Titan N.V.;Financial Services;Shell Companies;2911213.0;1.42;381.0;14/09/2023 02:00;30.99;21.823898;;1.413;1.433;;;;-2.24;;0.78539824;0.0;;Euronext;1723803420
spa.br;SPADEL;Consumer Defensive;Beverages—Non-Alcoholic;759514048.0;183.0;7.0;03/06/2024 02:00;2.2;0.012;1.07;190.42;165.43;26.872248;;;6.81;;2.7215943;0.08162;0.248;Euronext;1723803420
abo.br;ABO GROUP ENVIRONMENT;Industrials;Waste Management;58656288.0;5.55;1270.0;21/03/2024 01:00;0.09;0.016900001;;5.521;5.6765;23.125002;;;0.24;;2.346723;0.03021;0.552;Euronext;1723803420
marel.as;MAREL;Industrials;Specialty Industrial Machinery;2435258624.0;3.23;159440.0;22/03/2024 01:00;0.01;0.0025;;3.2954;3.1549;161.5;19.0;;0.02;0.17;2.3304472;0.01054;0.453;Euronext;1723803420
